country,iso3,continent
Afghanistan,AFG,Asia
Albania,ALB,Europe
Algeria,DZA,Africa
Andorra,AND,Europe
Angola,AGO,Africa
Antigua and Barbuda,ATG,North America
Argentina,ARG,South America
Armenia,ARM,Asia
Australia,AUS,Oceania
Austria,AUT,Europe
Azerbaijan,AZE,Asia
Bahamas (the),BHS,North America
Bahrain,BHR,Asia
Bangladesh,BGD,Asia
Barbados,BRB,North America
Belarus,BLR,Europe
Belgium,BEL,Europe
Belize,BLZ,North America
Benin,BEN,Africa
Bhutan,BTN,Asia
Bolivia (Plurinational State of),BOL,South America
Bosnia and Herzegovina,BIH,Europe
Botswana,BWA,Africa
Brazil,BRA,South America
Brunei Darussalam,BRN,Asia
Bulgaria,BGR,Europe
Burkina Faso,BFA,Africa
Burundi,BDI,Africa
Cabo Verde,CPV,Africa
Cambodia,KHM,Asia
Cameroon,CMR,Africa
Canada,CAN,North America
Central African Republic (the),CAF,Africa
Chad,TCD,Africa
Chile,CHL,South America
China,CHN,Asia
Colombia,COL,South America
Comoros (the),COM,Africa
Congo (the Democratic Republic of the),COD,Africa
Congo (the),COG,Africa
Costa Rica,CRI,North America
Côte d'Ivoire,CIV,Africa
Croatia,HRV,Europe
Cuba,CUB,North America
Cyprus,CYP,Asia
Czechia,CZE,Europe
Denmark,DNK,Europe
Djibouti,DJI,Africa
Dominica,DMA,North America
Dominican Republic (the),DOM,North America
Ecuador,ECU,South America
Egypt,EGY,Africa
El Salvador,SLV,North America
Equatorial Guinea,GNQ,Africa
Eritrea,ERI,Africa
Estonia,EST,Europe
Eswatini,SWZ,Africa
Ethiopia,ETH,Africa
Fiji,FJI,Oceania
Finland,FIN,Europe
France,FRA,Europe
Gabon,GAB,Africa
Gambia (the),GMB,Africa
Georgia,GEO,Asia
Germany,DEU,Europe
Ghana,GHA,Africa
Greece,GRC,Europe
Grenada,GRD,North America
Guatemala,GTM,North America
Guinea,GIN,Africa
Guinea-Bissau,GNB,Africa
Guyana,GUY,South America
Haiti,HTI,North America
Honduras,HND,North America
Hungary,HUN,Europe
Iceland,ISL,Europe
India,IND,Asia
Indonesia,IDN,Asia
Iran (Islamic Republic of),IRN,Asia
Iraq,IRQ,Asia
Ireland,IRL,Europe
Israel,ISR,Asia
Italy,ITA,Europe
Jamaica,JAM,North America
Japan,JPN,Asia
Jordan,JOR,Asia
Kazakhstan,KAZ,Asia
Kenya,KEN,Africa
Kiribati,KIR,Oceania
Korea (the Democratic People's Republic of),PRK,Asia
Korea (the Republic of),KOR,Asia
Kuwait,KWT,Asia
Kyrgyzstan,KGZ,Asia
Lao People's Democratic Republic (the),LAO,Asia
Latvia,LVA,Europe
Lebanon,LBN,Asia
Lesotho,LSO,Africa
Liberia,LBR,Africa
Libya,LBY,Africa
Liechtenstein,LIE,Europe
Lithuania,LTU,Europe
Luxembourg,LUX,Europe
Madagascar,MDG,Africa
Malawi,MWI,Africa
Malaysia,MYS,Asia
Maldives,MDV,Asia
Mali,MLI,Africa
Malta,MLT,Europe
Marshall Islands (the),MHL,Oceania
Mauritania,MRT,Africa
Mauritius,MUS,Africa
Mexico,MEX,North America
Micronesia (Federated States of),FSM,Oceania
Moldova (the Republic of),MDA,Europe
Monaco,MCO,Europe
Mongolia,MNG,Asia
Montenegro,MNE,Europe
Morocco,MAR,Africa
Mozambique,MOZ,Africa
Myanmar,MMR,Asia
Namibia,NAM,Africa
Nauru,NRU,Oceania
Nepal,NPL,Asia
Netherlands (the),NLD,Europe
New Zealand,NZL,Oceania
Nicaragua,NIC,North America
Niger (the),NER,Africa
Nigeria,NGA,Africa
North Macedonia,MKD,Europe
Norway,NOR,Europe
Oman,OMN,Asia
Pakistan,PAK,Asia
Palau,PLW,Oceania
Panama,PAN,North America
Papua New Guinea,PNG,Oceania
Paraguay,PRY,South America
Peru,PER,South America
Philippines (the),PHL,Asia
Poland,POL,Europe
Portugal,PRT,Europe
Qatar,QAT,Asia
Romania,ROU,Europe
Russian Federation (the),RUS,Europe
Rwanda,RWA,Africa
Saint Kitts and Nevis,KNA,North America
Saint Lucia,LCA,North America
Saint Vincent and the Grenadines,VCT,North America
Samoa,WSM,Oceania
San Marino,SMR,Europe
Sao Tome and Principe,STP,Africa
Saudi Arabia,SAU,Asia
Senegal,SEN,Africa
Serbia,SRB,Europe
Seychelles,SYC,Africa
Sierra Leone,SLE,Africa
Singapore,SGP,Asia
Slovakia,SVK,Europe
Slovenia,SVN,Europe
Solomon Islands,SLB,Oceania
Somalia,SOM,Africa
South Africa,ZAF,Africa
South Sudan,SSD,Africa
Spain,ESP,Europe
Sri Lanka,LKA,Asia
Sudan (the),SDN,Africa
Suriname,SUR,South America
Sweden,SWE,Europe
Switzerland,CHE,Europe
Syrian Arab Republic,SYR,Asia
Tajikistan,TJK,Asia
"Tanzania, United Republic of",TZA,Africa
Thailand,THA,Asia
Timor-Leste,TLS,Asia
Togo,TGO,Africa
Tonga,TON,Oceania
Trinidad and Tobago,TTO,North America
Tunisia,TUN,Africa
Türkiye,TUR,Asia
Turkmenistan,TKM,Asia
Tuvalu,TUV,Oceania
Uganda,UGA,Africa
Ukraine,UKR,Europe
United Arab Emirates (the),ARE,Asia
United Kingdom of Great Britain and Northern Ireland (the),GBR,Europe
United States of America (the),USA,North America
Uruguay,URY,South America
Uzbekistan,UZB,Asia
Vanuatu,VUT,Oceania
Venezuela (Bolivarian Republic of),VEN,South America
Viet Nam,VNM,Asia
Yemen,YEM,Asia
Zambia,ZMB,Africa
Zimbabwe,ZWE,Africa
